"AREA","TAVE","TMAX","TMIN","RF","MWUTM","IW","CHA","CHM","PS","RD","SS","TIME"
"100","澎湖",22.5,"29.8/7","15.5/28","28","11.1/30.0/9","22.6/10.0/10",74,"41/27",1016.2,4,141.5,"200811"
"101","彭佳嶼",20.7,"28.0/2","12.1/28","46.6","16.4/10.0/10","24.4/40.0/10",76,"44/28",1006.9,13,99.2,"200811"
"102","蘇澳",21.2,"31.0/7","11.5/29","418.1","9.3/20.0/27","20.6/360.0/27",77,"47/29",1015.9,20,60.4,"200811"
"103","日月潭",18.2,"28.6/5","8.2/29","78.8","5.5/170.0/9","9.4/160.0/10",76,"41/15",904.7,8,183.2,"200811"
"104","臺中",21.9,"32.6/4","10.9/29","24.4","5.9/30.0/27","13.4/20.0/27",74,"37/29",1006.9,5,194.3,"200811"
"105","臺南",22.9,"34.2/5","12.7/29","42.9","10.6/10.0/27","22.9/20.0/27",73,"42/14",1013.5,5,165.4,"200811"
"106","臺北",21.6,"33.2/5","11.4/29","155.9","7.8/60.0/1","14.4/60.0/25",74,"43/29",1018.2,14,100.8,"200811"
"107","臺東",23.4,"31.2/6","15.4/30","99.9","6.5/40.0/18","15.0/30.0/18",72,"43/30",1016,10,131.1,"200811"
"108","淡水",20.8,"32.6/2","9.9/29","167.6","6.5/20.0/10","14.6/20.0/10",80,"48/29",1016.8,11,98.4,"200811"
"109","梧棲",21.5,"29.2/2","12.3/30","28.3","14.5/10.0/19","26.6/30.0/10",75,"47/28",1014.1,3,191.4,"200811"
"110","宜蘭",21.3,"31.1/7","11.6/29","263.8","7.3/360.0/27","12.0/350.0/27",75,"50/28",1017.7,20,82,"200811"
"111","玉山",2.9,"17.1/2","-0.218518519","144.3","17.5/170.0/8","23.7/190.0/8",66,"13/14",644.2,9,204.4,"200811"
"112","竹子湖",16.8,"29.5/2","6.6/28","488.6","9.0/30.0/24","18.9/10.0/20",89,"67/28",949.3,21,91.9,"200811"
"113","阿里山",6.1,"16.2/3","-0.057142857","25","3.9/160.0/29","9.6/30.0/31",78,"42814",765.4,7,176.4,"200812"
"114","鞍部",11.6,"20.9/3","4.6/31","155","11.6/350.0/5","21.3/330.0/5",85,"42846",925.9,14,91,"200812"
"115","板橋",18,"28.2/4","11.5/8","49.6","7.0/90.0/7","13.3/70.0/18",72,"39/17",1019.9,8,145.4,"200812"
"116","成功",20.4,"27.5/4","14.8/5","23.3","14.1/30.0/22","24.0/40.0/22",66,"15523",1015.1,11,105.9,"200812"
"117","嘉義",17.9,"29.7/12","8.3/7","7","7.5/10.0/5","12.8/10.0/5",75,"28/21",1015.4,4,212.1,"200812"
"118","大武",21.7,"27.8/4","15.6/17","43.7","9.5/20.0/5","17.6/30.0/5",64,"15036",1018,7,144.1,"200812"
"119","東吉島",21,"26.5/4","16.8/31","6.5","22.2/20.0/5","29.3/30.0/5",69,"53/17",1013.3,2,162.2,"200812"
"120","恆春",22.1,"27.9/4","14.0/17","4.7","12.9/50.0/22","27.9/50.0/22",66,"46/19",1014.6,4,192,"200812"
"121","新竹",17.5,"26.2/10","11.5/22","19.3","8.9/20.0/22","20.4/110.0/22",70,"34/17",1016.6,5,169.6,"200812"
"122","花蓮",19.6,"26.9/4","11.5/7","61.8","13.0/30.0/5","24.3/30.0/5",69,"14427",1018.3,7,138.2,"200812"
"123","高雄",20.8,"29.9/4","13.1/7","T","5.1/310.0/20","10.0/340.0/5",68,"28/20",1017.5,0,206.3,"200812"
"124","基隆",18.1,"26.7/3","11.7/22","129.9","13.8/20.0/5","21.5/10.0/5",72,"16862",1017.7,14,100,"200812"
"125","金門",15.1,"23.9/11","7.8/23","5.8","8.1/60.0/6","18.6/70.0/22",70,"43003",1018.2,3,151,"200812"
"126","蘭嶼",19.8,"25.2/4","14.9/6","102.8","29.2/20.0/22","40.2/20.0/22",77,"56/19",980.5,16,102.5,"200812"
"127","馬祖",13.5,"22.5/21","5.6/23","1.4","9.3/60.0/21","18.8/80.0/22",75,"17046",1012.3,4,208.8,"200812"
"128","澎湖",19.6,"25.5/4","15.1/22","9.5","12.0/30.0/5","23.5/20.0/22",71,"15738",1018.2,2,155.8,"200812"
"129","彭佳嶼",17.7,"24.2/21","10.5/22","56.5","17.6/10.0/5","27.4/50.0/21",71,"38/17",1008.8,10,129.2,"200812"
"130","蘇澳",18.3,"26.6/4","10.8/7","206.5","8.8/10.0/22","22.3/70.0/22",73,"16132",1018,19,87.6,"200812"
"131","日月潭",15.3,"24.4/25","8.4/7","24.1","5.3/160.0/21","8.7/170.0/31",69,"43067",905.2,5,212.8,"200812"
"132","臺中",18.1,"28.3/12","9.9/7","11.2","6.5/20.0/22","13.8/30.0/22",69,"10990",1008.9,4,210.2,"200812"
"133","臺南",19.4,"28.5/12","11.1/7","1.1","9.1/20.0/5","15.8/20.0/5",69,"31/20",1015.4,2,205.5,"200812"
"134","臺北",18.4,"27.8/3","12.2/22","39.7","7.9/70.0/1","15.0/70.0/7",70,"38/21",1020.2,8,137.3,"200812"
"135","臺東",20.7,"29.3/28","13.4/7","27.2","8.1/40.0/5","17.6/40.0/22",64,"13971",1018.1,9,147.3,"200812"
"136","淡水",17.4,"25.6/3","9.0/7","51.6","7.6/20.0/22","18.3/0/3",75,"34/17",1018.8,8,144.3,"200812"
"137","梧棲",17.9,"24.2/12","10.9/7","14.6","16.4/10.0/22","27.8/10.0/22",73,"49/17",1016.1,3,209,"200812"
"138","宜蘭",18.4,"27.8/4","10.8/7","70.2","8.1/70.0/13","12.3/70.0/13",71,"16163",1019.8,11,122.8,"200812"
"139","玉山",0,"12.5/27","-0.6","31.4","15.1/220.0/4","22.9/280.0/13",52,"14/20",641.8,7,227.1,"200812"
"140","竹子湖",13.7,"24.3/4","6.8/31","162.1","8.7/30.0/30","18.4/10.0/30",83,"12510",950.4,14,139.8,"200812"
"141","阿里山",4.3,"13.6/31","-0.354545455","0.2","6.4/340.0/14","11.9/330.0/14",80,"18/14",764.9,1,216.2,"200901"
"142","鞍部",8.9,"20.2/29","0.5/24","313.4","10.6/340.0/23","21.1/120.0/31",89,"38/18",926.6,20,50.6,"200901"
"143","板橋",15.3,"25.3/18","5.4/14","40.4","7.2/70.0/31","14.1/70.0/3",75,"39/18",1021.7,10,97.8,"200901"
"144","成功",18.5,"26.6/30","12.0/10","50.3","11.5/20.0/23","21.2/30.0/23",67,"39/15",1016.4,18,100.4,"200901"
"145","嘉義",15.6,"26.3/21","5.1/11","T","7.6/20.0/9","12.8/360.0/23",77,"35/18",1017.2,0,223.1,"200901"
"146","大武",19.7,"30.5/22","11.4/11","26.7","8.0/30.0/23","18.5/50.0/23",67,"14580",1019.3,9,150.8,"200901"
"147","東吉島",18.1,"24.0/22","12.6/10","0","21.1/20.0/1","28.5/10.0/24",70,"55/14",1015.1,0,156.2,"200901"
"148","恆春",20.1,"26.9/20","15.2/11","29.5","12.5/50.0/23","27.1/40.0/23",67,"16103",1016.2,8,198.8,"200901"
"149","新竹",14.7,"23.6/19","8.0/10","9.2","8.7/20.0/12","19.3/70.0/5",72,"34/18",1018.6,6,141.4,"200901"
"150","花蓮",17.8,"25.7/29","10.5/11","50.6","11.7/30.0/23","18.7/20.0/23",69,"14916",1019.3,8,113,"200901"
"151","高雄",18.4,"27.5/21","9.3/14","0","6.2/360.0/9","11.8/340.0/9",68,"39/13",1019.2,0,245.5,"200901"
"152","基隆",15.5,"23.4/18","7.5/14","446.1","13.5/20.0/23","20.9/20.0/23",75,"17411",1019.4,17,48.9,"200901"
"153","金門",12.4,"21.6/6","5.6/11","3.1","8.1/50.0/1","16.7/60.0/1",68,"24/14",1020.1,1,192.7,"200901"
"154","蘭嶼",18,"25.4/30","12.5/10","68.5","23.0/20.0/2","34.4/30.0/2",78,"57/14",981.7,13,95.8,"200901"
"155","馬祖",9.8,"18.5/18","4.5/24","30","8.0/60.0/23","16.3/350.0/26",75,"14519",1013.9,5,163.8,"200901"
"156","澎湖",16.4,"23.6/21","10.8/10","0.3","11.3/20.0/23","23.5/10.0/24",73,"16711",1020.1,1,140.3,"200901"
"157","彭佳嶼",15,"23.2/29","7.0/24","77.8","18.3/10.0/23","27.5/40.0/23",73,"48/15",1010.3,15,65.3,"200901"
"158","蘇澳",16.2,"25.6/21","8.6/24","282.7","9.1/80.0/5","19.5/360.0/23",72,"47/13",1019.4,22,68.1,"200901"
"159","日月潭",13.2,"22.8/20","4.6/11","0.2","5.1/270.0/20","7.9/270.0/19",73,"33/17",905.6,1,232.5,"200901"
"160","臺中",15.5,"26.4/21","5.4/14","T","5.9/20.0/23","13.8/30.0/10",72,"29/18",1010.7,0,237.8,"200901"
"161","臺南",16.7,"26.6/21","7.3/14","0","9.9/60.0/9","17.3/30.0/9",70,"43/18",1017.2,0,242.9,"200901"
"162","臺北",15.7,"25.0/18","6.4/14","36.1","8.8/70.0/19","15.0/70.0/15",74,"38/18",1022.1,13,94.5,"200901"
"163","臺東",18.9,"27.9/6","11.4/11","13.2","7.7/50.0/23","19.0/30.0/23",65,"13547",1019.4,4,133.9,"200901"
"164","淡水",14.6,"24.2/28","5.3/14","52.7","7.0/20.0/23","17.4/30.0/23",76,"44/18",1020.8,12,88,"200901"
"165","梧棲",15,"22.6/18","7.5/11","0.2","15.8/10.0/1","26.2/360.0/23",76,"41/18",1018,1,183.4,"200901"
"166","宜蘭",16.2,"26.1/29","7.6/14","129.5","8.9/330.0/30","13.6/320.0/30",69,"17441",1021.4,15,84.3,"200901"
"167","玉山",-1.8,"13.6/31","-1","0.6","14.0/290.0/24","28.0/290.0/22",48,"13/17",640.3,1,289.8,"200901"
"168","竹子湖",10.9,"21.5/29","1.8/13","228","9.5/20.0/26","18.3/10.0/26",85,"48/18",951.2,15,95.2,"200901"
"169","阿里山",9.5,"19.8/25","0.8/2","3.4","4.6/140.0/10","8.8/360.0/3",82,"19/27",765.2,3,164.6,"200902"
"170","鞍部",14.8,"24.6/13","6.5/20","189","9.8/150.0/17","21.0/130.0/17",88,"11933",922.6,15,103.1,"200902"
"171","板橋",20,"31.5/13","12.4/2","32.9","7.3/80.0/21","15.0/50.0/17",77,"13028",1015.2,6,119.7,"200902"
"172","成功",21.8,"28.8/23","16.3/1","106.4","12.0/20.0/20","21.0/20.0/20",77,"16803",1011.4,13,84.7,"200902"
"173","嘉義",21.5,"32.4/13","14.5/7","13","7.3/240.0/13","11.6/240.0/13",81,"33/13",1012.2,1,164.7,"200902"
"174","大武",22.7,"32.2/13","16.6/11","49.8","9.6/20.0/20","18.1/30.0/20",79,"37/13",1014.8,15,125.9,"200902"
"175","東吉島",21.7,"28.7/25","17.6/1","4.5","17.4/20.0/17","23.1/20.0/17",78,"24077",1010.4,1,126.6,"200902"
"176","恆春",23.4,"31.2/24","18.2/5","9.9","11.7/50.0/20","24.1/70.0/17",75,"16072",1012.1,6,152.3,"200902"
"177","新竹",19.3,"28.6/13","13.0/2","36.4","7.0/20.0/17","16.5/350.0/13",78,"14489",1012.7,8,98.2,"200902"
"178","花蓮",21.2,"28.1/23","14.2/11","92.2","11.5/30.0/20","17.9/40.0/20",77,"18994",1014,11,99.2,"200902"
"179","高雄",23.4,"31.8/25","17.1/1","0.5","5.8/310.0/20","10.5/150.0/12",75,"18233",1014.5,1,187.6,"200902"
"180","基隆",19,"29.7/22","14.7/20","239.2","9.5/20.0/20","16.4/160.0/12",83,"15342",1013.1,17,78.9,"200902"
"181","金門",16.2,"28.1/25","11.3/1","17.6","8.4/70.0/20","18.8/70.0/20",78,"16619",1013.9,6,110,"200902"
"182","蘭嶼",20.9,"27.6/14","15.9/21","80.6","22.5/30.0/20","33.8/20.0/20",86,"23377",978.3,11,79.6,"200902"
"183","馬祖",12.7,"23.1/22","8.1/17","6.4","12.0/210.0/13","22.7/190.0/13",86,"23316",1007.4,6,86.4,"200902"
"184","澎湖",20.3,"29.3/25","15.8/1","1.7","10.1/30.0/20","18.3/20.0/16",83,"62/22",1014.7,3,102.5,"200902"
"185","彭佳嶼",18.6,"26.0/25","13.0/20","79.4","19.0/160.0/12","26.6/180.0/12",85,"18994",1004.4,13,74.1,"200902"
"186","蘇澳",20,"28.4/25","13.8/21","508","9.4/180.0/12","18.6/360.0/20",84,"16438",1013.5,18,91,"200902"
"187","日月潭",18.3,"30.0/23","11.8/5","3","6.3/280.0/13","11.3/220.0/13",75,"12693",903.2,1,197.7,"200902"
"188","臺中",21.3,"32.9/13","13.7/3","12.5","5.4/320.0/1","11.2/340.0/5",74,"32/13",1005.7,1,215.8,"200902"
"189","臺南",22.4,"30.6/22","15.7/21","5.5","8.3/200.0/12","14.1/200.0/12",76,"18963",1012.4,1,188.1,"200902"
"190","臺北",20.2,"30.8/13","14.6/2","32.8","9.4/60.0/17","17.0/60.0/28",77,"15646",1015.6,8,125.9,"200902"
"191","臺東",22.5,"30.2/24","16.6/21","65.8","8.0/50.0/20","17.1/30.0/20",74,"15342",1014.7,12,112.7,"200902"
"192","淡水",19.1,"27.3/13","13.3/20","31.5","6.3/20.0/20","14.6/160.0/1",78,"15342",1014.3,10,102.5,"200902"
"193","梧棲",20,"29.9/13","14.0/1","16","14.2/360.0/20","22.5/10.0/17",80,"45/13",1012.7,2,162.8,"200902"
"194","宜蘭",20.2,"27.7/25","14.0/21","137","8.8/50.0/20","13.9/60.0/20",75,"17899",1015.2,11,95.6,"200902"
"195","玉山",2.7,"16.7/26","-0.77","4.5","16.4/280.0/13","25.1/260.0/13",55,"43083",642.7,2,233.4,"200902"
"196","竹子湖",16.5,"28.2/23","8.9/20","127.6","8.9/20.0/16","20.2/20.0/17",84,"17777",946.5,15,122.7,"200902"
"197","阿里山",10.3,"20.9/19","-0.06","253.6","5.8/270.0/5","15.4/290.0/5",83,"18/17",764.9,10,161.7,"200903"
"198","鞍部",12.7,"23.5/13","2.9/14","257","13.3/350.0/14","20.4/340.0/13",90,"53/25",922.3,18,63.4,"200903"
